,drive-wheels,body-style,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,diesel,gas
0,4wd,hatchback,2.0,83.0,93.3,0.7558865929841423,0.8861111111111111,55.7,2240.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7603.0,9.038461538461537,0.0,1.0
1,4wd,sedan,0.6666666666666666,122.66666666666667,97.8,0.8338939612365849,0.9129629629629631,54.29999999999999,2573.0,117.33333333333333,3.4766666666666666,2.893333333333333,8.233333333333333,102.66666666666667,5033.333333333333,22.0,25.333333333333332,12647.333333333334,10.879629629629628,0.0,1.0
2,4wd,wagon,0.0,85.5,96.30000000000001,0.8248438250840942,0.8958333333333334,57.0,2617.5,100.0,3.335,2.835,8.675,79.25,4800.0,25.0,29.0,9095.75,9.460547504025765,0.0,1.0
3,fwd,convertible,3.0,122.0,94.5,0.7654973570398848,0.8916666666666667,55.6,2254.0,109.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,11595.0,9.791666666666666,0.0,1.0
4,fwd,hardtop,2.0,168.0,95.1,0.7803940413262855,0.8861111111111111,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,7.580645161290323,0.0,1.0
5,fwd,hatchback,1.3673469387755102,120.95918367346938,95.06326530612246,0.7878178662142417,0.8982142857142857,52.442857142857136,2181.5510204081634,105.81632653061224,3.1671428571428573,3.2834693877551016,9.071836734693877,85.18890117623404,5184.191213431185,28.959183673469386,34.795918367346935,8396.387755102041,8.524646810574401,0.02040816326530612,0.9795918367346939
6,fwd,sedan,0.7090909090909091,113.27272727272727,97.27818181818182,0.8284041763138351,0.9081818181818182,53.95636363636363,2313.018181818182,110.67272727272727,3.210909090909091,3.3016363636363635,10.967272727272729,87.23636363636363,5145.454545454545,28.0,34.054545454545455,9811.8,8.787002407739227,0.14545454545454545,0.8545454545454545
7,fwd,wagon,0.08333333333333333,99.75,98.70833333333333,0.8430642319397724,0.9101851851851852,56.00833333333333,2464.3333333333335,116.33333333333333,3.2891666666666666,3.265833333333333,8.933333333333334,90.188013136289,5210.447454844007,25.666666666666668,31.416666666666668,9997.333333333334,9.48006675517824,0.0,1.0
8,rwd,convertible,2.8,128.4,92.34,0.8294089380105719,0.9147222222222222,50.6,2911.2,166.8,3.5520000000000005,2.972,9.02,140.0,5090.0,19.8,25.4,23949.6,12.136729691876749,0.0,1.0
9,rwd,hardtop,1.8571428571428572,123.0,98.98571428571428,0.8602320313036315,0.9307539682539681,52.785714285714285,2925.285714285714,187.57142857142858,3.674285714285714,3.327142857142857,10.914285714285715,152.71428571428572,5007.142857142857,20.285714285714285,25.857142857142858,24202.714285714286,12.06994161300884,0.14285714285714285,0.8571428571428571
10,rwd,hatchback,2.2777777777777777,160.61111111111111,96.56666666666666,0.8321319878263655,0.921604938271605,51.09444444444445,2712.1111111111113,132.27777777777777,3.402166943062466,3.315,8.983333333333334,133.38888888888889,5361.111111111111,20.22222222222222,25.88888888888889,14337.777777777777,11.93485971276686,0.0,1.0
11,rwd,sedan,-0.2777777777777778,132.38888888888889,106.30000000000001,0.8989134497303647,0.9414351851851852,55.05277777777778,3108.3055555555557,165.0,3.5391666666666666,3.254722222222222,11.191666666666666,129.22222222222223,4970.833333333333,20.805555555555557,25.694444444444443,21711.833333333332,11.852982762201748,0.19444444444444445,0.8055555555555556
12,rwd,wagon,-0.5555555555555556,102.77777777777777,109.35555555555555,0.9294142773239362,0.9444444444444444,57.56666666666667,3284.8888888888887,144.44444444444446,3.5944444444444446,3.2066666666666666,12.88888888888889,116.77777777777777,4861.111111111111,21.444444444444443,25.0,16994.222222222223,11.157740969165792,0.3333333333333333,0.6666666666666666
